game,score,date
random_game,12,2024-07-29 09:58:08
random_game,16,2024-07-29 09:59:42
random_game,13,2024-07-29 10:01:26
simple_mult,21,2024-07-29 10:09:45
large_addition,3,2024-07-29 10:27:17
large_addition,9,2024-07-29 10:29:29
large_addition,6,2024-07-29 10:31:05
large_addition,6,2024-07-29 10:32:41
large_addition,7,2024-07-29 10:34:14
large_addition,5,2024-07-29 10:36:37
large_addition,7,2024-07-29 10:39:09
large_addition,10,2024-07-29 10:40:42
large_addition,7,2024-07-29 10:42:16
large_addition,8,2024-07-29 10:43:49
large_addition,4,2024-07-29 10:45:28
large_addition,2,2024-07-29 10:47:10
large_addition,5,2024-07-29 10:48:45
